wdid,mass,age
2MASS J11281393+1252341,0.54,
2MASS J11284071+0841175,0.57,0.0195
2MASS J11290953+6637043,0.45,0.0977
2MASS J11291414+4715014,,
2MASS J11300614-0647163,,
2MASS J11310905+0643061,0.533,1.13
2MASS J11313905-0321271,0.49,0.182
2MASS J11321273+5837438,,
2MASS J11340424+0512346,,
2MASS J11345774+6554078,,
2MASS J11345827+0254009,,
2MASS J11351112+0009241,,
2MASS J11351132+6013566,0.56,0.2239
2MASS J11355751+0103106,0.89,
2MASS J11365515+0409528,0.6,0.4677
2MASS J11375649+5740225,0.693,1.65
2MASS J11380037-0011442,0.68,
2MASS J11382911+2020402,,
2MASS J11390756+5111036,0.176,0.0776
2MASS J11404644+3318430,,
2MASS J11412584+0105041,,
2MASS J11431257+0009267,0.523,0.1096
2MASS J11431651+6658132,,
2MASS J11441564+4557001,0.57,0.0479
2MASS J11450979+3813292,,
2MASS J11452362+2515112,,
2MASS J11471607+2939301,0.66,
2MASS J11472000+1128132,0.91,
2MASS J11485334+5552170,,
2MASS J11494044+6339344,,
2MASS J11505233+6831161,0.762,3.23
2MASS J11511737+3108531,,
2MASS J11515695-0007251,0.6,0.5623
2MASS J11523697+0021417,0.58,0.537
2MASS J11535608+4001375,0.201,
2MASS J11543371+0940485,,
2MASS J11584888+1715528,0.56,
2MASS J11585730+1529221,0.5,0.0062
2MASS J11595023+4001440,,
2MASS J12040527+0421453,,
2MASS J12045543+1337155,0.55,
2MASS J12050800+0312344,0.65,0.3548
2MASS J12053620+4256083,0.66,0.1479
2MASS J12061573+5100471,,
2MASS J12063596+0823090,0.611,1.1
2MASS J12090941+6510199,0.55,0.2239
2MASS J12101023+3347239,,
2MASS J12103377-0046446,,
2MASS J12111941+4155553,0.58,
2MASS J12113095-0249545,0.52,
2MASS J12115375-0219220,,
2MASS J12125824-0123101,0.39,0.0912
2MASS J12131815+5102475,0.52,
2MASS J12135686+3635310,0.41,
2MASS J12140895+2655433,,
2MASS J12144003+1537208,0.47,
2MASS J12162587+4328331,,
2MASS J12173025+3226334,0.549,1.24
2MASS J12200769+6316283,0.54,
2MASS J12203708+4923343,0.42,
2MASS J12210833+1550055,,
2MASS J12212103+3306350,0.564,1.18
2MASS J12214905+2856278,0.38,
2MASS J12220847+0934061,0.34,
2MASS J12221620+2227392,,
2MASS J12231542+3137556,0.47,
2MASS J12232547+2811438,0.62,
2MASS J12233961-0056311,0.039,0.3311
2MASS J12251494+2925231,0.63,
2MASS J12255302+0103563,0.82,
2MASS J12260479+3758279,,
2MASS J12263499+3220207,1.36,
2MASS J12264417+0103026,,
2MASS J12293066+2630503,1.04,
2MASS J12313980-0310002,0.35,
2MASS J12315292+5535255,0.79,0.8318
2MASS J12321435+3513241,0.47,
2MASS J12322379+3808591,0.74,
2MASS J12323566+5920272,0.28,
2MASS J12323995+4500233,,
2MASS J12332529+2832414,0.54,
2MASS J12332966+6008546,0.42,0.67
2MASS J12334759+1253454,0.556,1.74
2MASS J12340916+1936308,0.54,
2MASS J12341097+5808155,0.641,0.3219
2MASS J12351567+5503178,0.298,0.49
2MASS J12352866+0030421,0.46,
2MASS J12353983+2541424,0.72,
2MASS J12374322+6023203,0.51,3.7
2MASS J12374924+6143438,0.62,0.2344
2MASS J12375322+4331536,,
2MASS J12383440+3627421,0.46,
2MASS J12383631-0040421,0.55,0.0026
2MASS J12390290+6549346,0.51,0.0316
2MASS J12392231+0055484,,
2MASS J12401590+2350411,,
2MASS J12405480+4340435,0.59,0.1072
2MASS J12414136+1405388,0.6,
2MASS J12421619+6408597,0.5,
2MASS J12425039-0853319,,
2MASS J12434295+1449556,0.63,
